Date,Name,Year,Letterboxd URI
2024-05-23,Waves,2019,https://boxd.it/jpmy
2024-05-23,A Sun,2019,https://boxd.it/n3uo
2024-05-23,The Room,2003,https://boxd.it/1ICY
2024-05-23,Last Night in Soho,2021,https://boxd.it/lbJC
2024-05-23,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2024-05-23,High Fidelity,2000,https://boxd.it/2aMW
2024-05-23,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2024-05-23,Blue Velvet,1986,https://boxd.it/29BI
2024-05-23,The Elephant Man,1980,https://boxd.it/27LQ
2024-05-24,Cinderella Man,2005,https://boxd.it/29he
2024-05-24,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ
2024-05-24,A Beautiful Mind,2001,https://boxd.it/2amk
2024-05-24,You Were Never Really Here,2017,https://boxd.it/dWOS
2024-05-24,American Honey,2016,https://boxd.it/bk7C
2024-05-24,Titane,2021,https://boxd.it/nlQC
2024-05-24,Unbreakable,2000,https://boxd.it/1XV2
2024-05-25,Harold & Kumar Go to White Castle,2004,https://boxd.it/1Ueu
2024-05-27,His House,2020,https://boxd.it/l8Qq
2024-05-28,Cars,2006,https://boxd.it/29ho
2024-05-29,The Fall Guy,2024,https://boxd.it/s0Bm
2024-05-30,Good Will Hunting,1997,https://boxd.it/2ahY
2024-05-30,Dazed and Confused,1993,https://boxd.it/1Ylk
2024-05-30,Booksmart,2019,https://boxd.it/igNS
2024-06-03,Eric,2024,https://boxd.it/NsHE
2024-06-06,Project: ALF,1996,https://boxd.it/1UYs
2024-06-12,Hardcore Never Dies,2023,https://boxd.it/FKRm
2024-06-12,Inside Out 2,2024,https://boxd.it/CFrC
2024-06-12,Inside Out,2015,https://boxd.it/4KHC
2024-06-23,A Better Tomorrow,1986,https://boxd.it/1TLW
